symbol,name_ar,name_en,sector,business_class,vision2030_theme,event_exposure_overall,primary_event_driver,event_confidence,seasonal_hajj_exposure,seasonal_ramadan_exposure,seasonal_primary_drivers,index_membership_summary,source_type,source_freshness_status,review_priority,classification_risk
1010,بنك الرياض,Riyad Bank,البنوك,financial,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1020,بنك الجزيرة,Bank Aljazira,البنوك,financial,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1030,البنك السعودي للاستثمار,Saudi Investment Bank,البنوك,financial,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1050,البنك السعودي الفرنسي,Banque Saudi Fransi,البنوك,financial,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1060,البنك السعودي الأول,Saudi Awwal Bank,البنوك,financial,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1080,البنك العربي الوطني,Arab National Bank,البنوك,financial,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1111,شركة مجموعة تداول السعودية القابضة,Saudi Tadawul Group Holding Co.,الخدمات المالية,financial_services,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1120,مصرف الراجحي,Al Rajhi Bank,البنوك,financial,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1140,بنك البلاد,Bank Albilad,البنوك,financial,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1150,مصرف الإنماء,Alinma Bank,البنوك,financial,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1180,البنك الأهلي السعودي,SNB,البنوك,financial,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1182,شركة أملاك العالمية للتمويل,Amlak International Finance Co.,الخدمات المالية,financial_services,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1183,شركة سهل للتمويل,SHL Finance Co.,الخدمات المالية,financial_services,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1201,تكوين,Takween,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1202,مبكو,MEPCO,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1210,بي سي آي,BCI,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1211,معادن,Maaden,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1212,مجموعة أسترا الصناعية,Astra Industrial Group,السلع الرأسمالية,capital_goods,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1213,شركة نسيج العالمية التجارية,Naseej International Trading Co.,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1214,شركة الحسن غازي إبراهيم شاكر,Al Hassan Ghazi Ibrahim Shaker Co.,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1301,أسلاك,Aslak,السلع الرأسمالية,capital_goods,industrial_development,medium,venue_construction,low,none,none,none,TASI:needs_verification,official,current,medium,medium
1302,بوان,Bawan,السلع الرأسمالية,capital_goods,industrial_development,medium,venue_construction,medium,none,none,none,TASI:needs_verification,official,current,none,low
1303,صناعات كهربائية,Electrical Industries,السلع الرأسمالية,capital_goods,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1304,شركة اليمامة للصناعات الحديدية,Al Yamamah Steel Industries Co.,السلع الرأسمالية,capital_goods,industrial_development,medium,venue_construction,low,none,none,none,TASI:needs_verification,official,current,medium,medium
1320,الشركة السعودية لأنابيب الصلب,Saudi Steel Pipe Co.,السلع الرأسمالية,capital_goods,industrial_development,medium,venue_construction,low,none,none,none,TASI:needs_verification,official,current,medium,medium
1321,شركة أنابيب الشرق المتكاملة للصناعة,East Pipes Integrated Company for Industry,السلع الرأسمالية,capital_goods,industrial_development,medium,venue_construction,low,none,none,none,TASI:needs_verification,official,current,medium,medium
1322,أماك,AMAK,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1323,الشركة المتحدة لصناعات الكرتون,United Carton Industries Co.,السلع الرأسمالية,capital_goods,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1324,شركة صالح عبدالعزيز الراشد وأولاده,Saleh Abdulaziz Al Rashed and Sons Co.,السلع الرأسمالية,capital_goods,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1810,مجموعة سيرا القابضة,Seera Group Holding,الخدمات الاستهلاكية,consumer_services,quality_of_life_and_retail,high,hospitality_tourism,medium,medium,none,hospitality,TASI:needs_verification,official,current,none,low
1820,شركة مجموعة بان القابضة,BAAN Holding Group Co.,الخدمات الاستهلاكية,consumer_services,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1830,لجام للرياضة,Leejam Sports,الخدمات الاستهلاكية,consumer_services,quality_of_life_and_retail,high,event_services,medium,none,none,none,TASI:needs_verification,official,current,none,low
1831,مهارة,Maharah,الخدمات التجارية والمهنية,commercial_services,labor_market_and_services,medium,facilities_management,medium,none,none,none,TASI:needs_verification,official,current,none,low
1832,صدر,Sadr Logistics,النقل,transportation_logistics,logistics_and_transport,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1833,الموارد,Al Mawarid,الخدمات التجارية والمهنية,commercial_services,labor_market_and_services,medium,facilities_management,low,none,none,none,TASI:needs_verification,official,current,medium,medium
1834,الشركة السعودية لحلول القوى البشرية,Saudi Manpower Solutions Co.,الخدمات التجارية والمهنية,commercial_services,labor_market_and_services,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
1835,شركة تمكين للموارد البشرية,Tamkeen Human Resource Co.,الخدمات التجارية والمهنية,commercial_services,labor_market_and_services,medium,facilities_management,low,none,none,none,TASI:needs_verification,official,current,medium,medium
2001,شركة كيمائيات الميثانول,Methanol Chemicals Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2002,الشركة الوطنية للبتروكيماويات,National Petrochemical Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2010,سابك,SABIC,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2020,سابك للمغذيات الزراعية,SABIC Agri-Nutrients,المواد الأساسية,basic_materials,food_security_and_industry,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2030,شركة المصافي العربية السعودية,Saudi Arabia Refineries Co.,الطاقة,energy,energy,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2040,الخزف السعودي,Saudi Ceramics,السلع الرأسمالية,capital_goods,industrial_development,medium,venue_construction,low,none,none,none,TASI:needs_verification,official,current,medium,medium
2050,مجموعة صافولا,Savola Group,إنتاج الأغذية,food_production,food_security_and_industry,none,none,not_available,none,high,consumer_goods,TASI:needs_verification,official,current,none,low
2060,شركة التصنيع الوطنية,National Industrialization Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2070,الشركة السعودية للصناعات الدوائية والمستلزمات الطبية,Saudi Pharmaceutical Industries and Medical Appliances Corp.,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2080,شركة الغاز والتصنيع الأهلية القابضة,Alghaz Waltsnae Company Eligibility Alqabida,الطاقة,energy,energy,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2081,شركة الخريف لتقنية المياه والطاقة,Alkhorayef Water and Power Technologies Co.,الطاقة,energy,energy,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2082,أكوا باور,ACWA Power,المرافق العامة,utilities,renewable_energy_and_utilities,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2083,مرافق,Marafiq,المرافق العامة,utilities,utilities_and_infrastructure,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2084,شركة مياهنا,Miahona Co.,الطاقة,energy,energy,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2090,شركة الجبس الأهلية,National Gypsum Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2100,شركة وفرة للصناعة والتنمية,Wafrah for Industry and Development Co.,إنتاج الأغذية,food_production,food_security_and_industry,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2110,شركة الكابلات السعودية,Saudi Cable Co.,السلع الرأسمالية,capital_goods,industrial_development,medium,venue_construction,medium,none,none,none,TASI:needs_verification,official,current,none,low
2120,الشركة السعودية للصناعات المتطورة,Saudi Advanced Industries Co.,الخدمات المالية,financial_services,financial_sector_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2130,الشركة السعودية للتنمية الصناعية,Saudi Industrial Development Co.,السلع الرأسمالية,capital_goods,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2140,شركة أيان للإستثمار,AYYAN Investment Co.,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2150,شركة الصناعات الزجاجية الوطنية,The National Company for Glass Industries,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2160,شركة أميانتيت العربية السعودية,Saudi Arabian Amiantit Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2170,شركة اللجين,Alujain Corp.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2180,شركة تصنيع مواد التعبئة والتغليف,Filing and Packing Materials Manufacturing Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2190,شركة البنى التحتية المستدامة القابضة,Sustained Infrastructure Holding Co.,النقل,transportation_logistics,logistics_and_transport,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2200,الشركة العربية للأنابيب,Arabian Pipes Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2210,شركة نماء للكيماويات,Nama Chemicals Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2220,الشركة الوطنية لتصنيع وسبك المعادن,National Metal Manufacturing and Casting Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2222,أرامكو السعودية,Saudi Aramco,الطاقة,energy,energy,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2223,شركة أرامكو السعودية لزيوت الأساس,Saudi Aramco Base Oil Co.,الطاقة,energy,energy,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2230,الشركة الكيميائية السعودية القابضة,Saudi Chemical Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2240,شركة صناعات البناء المتقدمة,Advanced Building Industries Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2250,المجموعة السعودية للإستثمار الصناعي,Saudi Industrial Investment Group,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2260,شركة الصحراء للبتروكيماويات,Sahara Petrochemical Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2270,الشركة السعودية لمنتجات الألبان والأغذية,Saudia Dairy and Foodstuff Co.,إنتاج الأغذية,food_production,food_security_and_industry,none,none,not_available,none,low,food_retail,TASI:needs_verification,official,current,medium,medium
2280,شركة المراعي,Almarai Co.,إنتاج الأغذية,food_production,food_security_and_industry,none,none,not_available,none,high,food_retail,TASI:needs_verification,official,current,none,low
2281,شركة التنمية الغذائية,Tanmiah Food Co.,إنتاج الأغذية,food_production,food_security_and_industry,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2282,شركة نقي للمياه,Naqi Water Co.,إنتاج الأغذية,food_production,food_security_and_industry,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2283,شركة المطاحن الأولى,First Milling Co.,إنتاج الأغذية,food_production,food_security_and_industry,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2284,شركة المطاحن الحديثة للمنتجات الغذائية,Modern Mills for Food Products Co.,إنتاج الأغذية,food_production,food_security_and_industry,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2285,شركة المطاحن العربية للمنتجات الغذائية,Arabian Mills for Food Products Co.,إنتاج الأغذية,food_production,food_security_and_industry,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2286,شركة المطاحن الرابعة,Fourth Milling Co.,إنتاج الأغذية,food_production,food_security_and_industry,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2287,الشركة العربية للاستثمار الزراعي والصناعي,Arabian Company for Agricultural and Industrial Investment,إنتاج الأغذية,food_production,food_security_and_industry,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2288,شركة نفوذ للمنتجات الغذائية,Nofoth Food Products Co.,إنتاج الأغذية,food_production,food_security_and_industry,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2290,شركة ينبع الوطنية للبتروكيماويات,Yanbu National Petrochemical Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2300,الشركة السعودية لصناعة الورق,Saudi Paper Manufacturing Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2310,شركة الصحراء العالمية للبتروكيماويات,Sahara International Petrochemical Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2320,شركة البابطين للطاقة والإتصالات,Al-Babtain Power and Telecommunication Co.,السلع الرأسمالية,capital_goods,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2330,الشركة المتقدمة للبتروكيماويات,Advanced Petrochemical Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2340,شركة ارتيكس للاستثمار الصناعي,ARTEX Industrial Investment Co.,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2350,شركة كيان السعودية للبتروكيماويات,Saudi Kayan Petrochemical Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2360,الشركة السعودية لإنتاج الأنابيب الفخارية,Saudi Vitrified Clay Pipes Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2370,شركة الشرق الأوسط للكابلات المتخصصة,Middle East Specialized Cables Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2380,بترو رابغ,Petro Rabigh,الطاقة,energy,energy,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2381,الحفر العربية,Arabian Drilling,الطاقة,energy,energy,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
2382,أديس,ADES,الطاقة,energy,energy,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3001,شركة أسمنت حائل,Hail Cement Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3002,شركة أسمنت نجران,Najran Cement Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3003,شركة أسمنت المدينة,City Cement Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3004,شركة أسمنت المنطقة الشمالية,Northern Region Cement Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3005,شركة أسمنت ام القرى,Umm Al-Qura Cement Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3007,شركة زهرة الواحة للتجارة,Zahrat Al Waha for Trading Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3008,شركة الكثيري القابضة,Al Kathiri Holding Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3010,شركة الأسمنت العربية,Arabian Cement Co.,المواد الأساسية,basic_materials,industrial_development,medium,venue_construction,low,none,none,none,TASI:needs_verification,official,current,medium,medium
3020,شركة أسمنت اليمامة,Yamama Cement Co.,المواد الأساسية,basic_materials,industrial_development,medium,venue_construction,medium,none,none,none,TASI:needs_verification,official,current,none,low
3030,شركة الأسمنت السعودية,Saudi Cement Co.,المواد الأساسية,basic_materials,industrial_development,medium,venue_construction,low,none,none,none,TASI:needs_verification,official,current,medium,medium
3040,شركة أسمنت القصيم,Qassim Cement Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3050,شركة أسمنت المنطقة الجنوبية,Southern Province Cement Co.,المواد الأساسية,basic_materials,industrial_development,medium,venue_construction,low,none,none,none,TASI:needs_verification,official,current,medium,medium
3060,شركة أسمنت ينبع,Yanbu Cement Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3080,شركة أسمنت المنطقة الشرقية,Eastern Province Cement Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3090,شركة أسمنت تبوك,Tabuk Cement Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3091,شركة أسمنت الجوف,Al Jouf Cement Co.,المواد الأساسية,basic_materials,industrial_development,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
3092,شركة أسمنت الرياض,Riyadh Cement Co.,المواد الأساسية,basic_materials,industrial_development,high,venue_construction,medium,none,none,none,TASI:needs_verification,official,current,none,low
4001,أسواق عبدالله العثيم,Al Othaim Markets,تجزئة الأغذية,consumer_defensive,food_security_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4002,المواساة,Mouwasat,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4003,إكسترا,eXtra,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4004,دله الصحية,Dallah Healthcare,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4005,رعاية,Care,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4006,الشركة السعودية للتسويق,Saudi Marketing Co.,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4007,الحمادي,Al Hammadi,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4008,الشركة السعودية للعدد والأدوات,Saudi Company for Hardware,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4009,السعودي الألماني الصحية,Saudi German Health,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4010,شركة دور للضيافة,Dur Hospitality Co.,الخدمات الاستهلاكية,consumer_services,quality_of_life_and_retail,high,hospitality_tourism,high,high,none,hospitality,TASI:needs_verification,official,current,none,low
4011,شركة لازوردي للمجوهرات,Lazurde Company for Jewelry,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4012,شركة ثوب الأصيل,Thob Al Aseel Co.,تجزئة وتوزيع السلع الكمالية,consumer_retail,quality_of_life_and_retail,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4013,مجموعة سليمان الحبيب,Sulaiman Al Habib,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4014,شركة دار المعدات الطبية والعلمية,Scientific and Medical Equipment House Co.,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4015,شركة مصنع جمجوم للأدوية,Jamjoom Pharmaceuticals Factory Co.,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4016,شركة الشرق الأوسط للصناعات الدوائية,Middle East Pharmaceutical Industries Co.,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4017,فقيه الطبية,Fakeeh Care,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4018,شركة الموسى الصحية,Almoosa Health Co.,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4019,الشركة الطبية التخصصية,Specialized Medical Co.,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4020,الشركة العقارية السعودية,Saudi Real Estate Co.,إدارة وتطوير العقارات,real_estate,housing_and_real_estate,high,urban_infrastructure,medium,none,none,none,TASI:needs_verification,official,current,none,low
4021,شركة مجمع المركز الكندي الطبي العام,Canadian Medical Center Co.,الرعاية الصحية,healthcare,healthcare_quality,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4030,البحري,Bahri,النقل,transportation_logistics,logistics_and_transport,none,none,not_available,none,none,none,TASI:needs_verification,official,current,none,low
4031,الخدمات الأرضية,Saudi Ground Services,النقل,transportation_logistics,logistics_and_transport,high,transport_mobility,medium,high,none,ground_services,TASI:needs_verification,official,current,none,low
